timestamp,open,high,low,close,action
1388070000000,"737000","755000","755000","737000",0
1388156400000,"750000","750000","750000","750000",0
1388242800000,"750000","739000","750000","728000",0
1388329200000,"740000","768000","772000","740000",0
1388415600000,"768000","768000","800000","763000",0
1388502000000,"768000","777000","795000","765000",0
1388588400000,"776000","778000","788000","773000",0
1388674800000,"778000","834000","840000","774000",0
1388761200000,"831000","846000","846000","819000",0
1388847600000,"846000","925000","925000","845000",0
1388934000000,"928000","1010000","1050000","920000",0
1389020400000,"1001000","935000","1026000","900000",0
1389106800000,"935000","897000","960000","825000",0
1389193200000,"880000","865000","909000","860000",0
1389279600000,"875000","890000","905000","862000",0
1389366000000,"889000","932000","950000","880000",0
1389452400000,"935000","910000","952000","904000",0
1389538800000,"920000","881000","925000","872000",0
1389625200000,"877000","874000","905000","872000",0
1389711600000,"889000","905000","918000","875000",0
1389798000000,"895000","910000","940000","892000",0
1389884400000,"904000","885000","913000","872000",0
1389970800000,"888000","885000","906000","868000",0
1390057200000,"887000","893000","899000","870000",0
1390143600000,"893000","898000","914000","890000",0
1390230000000,"898000","899000","906000","891000",0
1390316400000,"895000","892000","904000","891000",0
1390402800000,"895000","888000","898000","886000",0
1390489200000,"891000","870000","891000","848000",0
1390575600000,"864000","870000","874000","858000",0
1390662000000,"867000","892000","894000","866000",0
1390748400000,"893000","886000","903000","879000",0
1390834800000,"880000","879000","885000","848000",0
1390921200000,"871000","864000","876000","857000",0
1391007600000,"865000","874000","874000","863000",0
1391094000000,"874000","883000","886000","874000",0
1391180400000,"882000","899000","899000","879000",0
1391266800000,"900000","902000","907000","887000",0
1391353200000,"902000","896000","904000","890000",0
1391439600000,"897000","891000","897000","882000",0
1391526000000,"892000","890000","892000","886000",0
1391612400000,"888000","866000","889000","857000",0
1391698800000,"866000","824000","869000","751000",0
1391785200000,"824000","821000","874000","790000",1
1391871600000,"821000","805000","821000","782000",0
1391958000000,"805000","756000","825000","700000",0
1392044400000,"760000","776000","801000","739000",0
1392130800000,"777000","729000","777000","713000",0
1392217200000,"728000","715000","738000","708000",0
1392303600000,"710000","681000","716000","551000",0
1392390000000,"686000","687000","771000","682000",0
1392476400000,"689000","681000","711000","665000",0
1392562800000,"683000","693000","709000","645000",0
1392649200000,"699000","678000","699000","652000",0
1392735600000,"679000","676000","689000","675000",0
1392822000000,"678000","655000","682000","637000",0
1392908400000,"644000","642000","670000","580000",0
1392994800000,"633000","618000","642000","601000",0
1393081200000,"625000","670000","693000","619000",0
1393167600000,"670000","633000","676000","617000",0
1393254000000,"629000","576000","635000","490000",0
1393340400000,"580000","600000","628000","577000",0
1393426800000,"604000","610000","624000","603000",0
1393513200000,"610000","605000","615000","597000",0
1393599600000,"600000","598000","607000","583000",0
1393686000000,"598000","600000","607000","598000",0
1393772400000,"599000","605000","616000","596000",0
1393858800000,"610000","736000","736000","610000",0
1393945200000,"733000","690000","736000","670000",0
1394031600000,"690000","685000","700000","680000",0
1394118000000,"680000","657000","688000","608000",2
1394204400000,"655000","646000","662000","631000",0
1394290800000,"644000","656000","667000","634000",0
1394377200000,"652000","654000","669000","647000",0
1394463600000,"649000","652000","659000","646000",0
1394550000000,"652000","664000","670000","650000",0
1394636400000,"664000","669000","675000","661000",0
1394722800000,"669000","669000","680000","667000",0
1394809200000,"668000","670000","673000","665000",0
1394895600000,"670000","674000","678000","669000",0
1394982000000,"673000","668000","677000","657000",0
1395068400000,"667000","649000","669000","645000",0
1395154800000,"649000","653000","664000","649000",0
1395241200000,"652000","638000","658000","630000",0
1395327600000,"633000","620000","655000","615000",0
1395414000000,"621000","601000","628000","594000",1
1395500400000,"606000","610000","615000","602000",0
1395586800000,"611000","601000","618000","591000",0
1395673200000,"604000","619000","627000","600000",0
1395759600000,"618000","624000","626000","613000",0
1395846000000,"625000","552000","626000","548000",0
1395932400000,"549000","539000","571000","502000",0
1396018800000,"533000","527000","540000","524000",0
1396105200000,"525000","488000","530000","488000",0
1396191600000,"488000","476000","513000","455000",0
1396278000000,"482000","496000","512000","466000",0
1396364400000,"495000","480000","509000","480000",0
1396450800000,"478000","438000","480000","400000",0
1396537200000,"439000","460000","470000","436000",0
1396623600000,"461000","465000","473000","452000",0
1396710000000,"466000","477000","485000","466000",0
1396796400000,"477000","471000","483000","471000",0
1396882800000,"472000","473000","483000","469000",0
1396969200000,"474000","467000","480000","465000",0
1397055600000,"467000","426000","472000","418000",0
1397142000000,"426000","431000","448000","381000",0
1397228400000,"434000","453000","467000","433000",0
1397314800000,"452000","434000","453000","433000",0
1397401200000,"434000","498000","514000","425000",0
1397487600000,"497000","528000","549000","490000",0
1397574000000,"530000","548000","593000","528000",0
1397660400000,"551000","531000","580000","512000",0
1397746800000,"531000","514000","544000","510000",0
1397833200000,"514000","524000","537000","504000",0
1397919600000,"524000","532000","546000","520000",0
1398006000000,"532000","533000","548000","523000",2
1398092400000,"534000","531000","540000","524000",0
1398178800000,"533000","520000","538000","515000",0
1398265200000,"523000","524000","526000","513000",0
1398351600000,"523000","475000","534000","471000",0
1398438000000,"477000","478000","487000","460000",1
1398524400000,"480000","478000","483000","470000",0
1398610800000,"478000","456000","478000","432000",0
1398697200000,"456000","469000","473000","451000",0
1398783600000,"464000","466000","468000","450000",0
1398870000000,"466000","465000","473000","461000",0
1398956400000,"465000","461000","474000","460000",0
1399042800000,"462000","459000","466000","440000",0
1399129200000,"452000","456000","460000","450000",0
1399215600000,"456000","447000","457000","444000",0
1399302000000,"447000","449000","460000","435000",0
1399388400000,"452000","460000","460000","445000",0
1399474800000,"460000","459000","468000","459000",0
1399561200000,"462000","469000","469000","456000",0
1399647600000,"469000","472000","476000","462000",0
1399734000000,"471000","455000","474000","455000",0
1399820400000,"455000","455000","461000","448000",0
1399906800000,"453000","451000","460000","450000",0
1399993200000,"451000","454000","459000","451000",0
1400079600000,"455000","464000","480000","454000",0
1400166000000,"464000","468000","470000","457000",0
1404226800000,"681000","672000","684000","656000",0
1404313200000,"672000","665000","676000","663000",2
1404399600000,"665000","650000","668000","642000",0
1404486000000,"654000","651000","656000","635000",0
1404572400000,"651000","650000","656000","646000",0
1404658800000,"650000","640000","653000","639000",0
1404745200000,"640000","638000","648000","634000",0
1404831600000,"640000","640000","648000","637000",0
1404918000000,"640000","640000","648000","634000",0
1405004400000,"642000","642000","643000","634000",0
1405090800000,"643000","645000","652000","640000",0
1405177200000,"645000","645000","650000","642000",0
1405263600000,"648000","634000","649000","633000",0
1405350000000,"637000","641000","647000","634000",0
1405436400000,"641000","637000","647000","637000",0
1405522800000,"637000","642000","646000","635000",0
1405609200000,"642000","645000","652000","641000",0
1405695600000,"644000","653000","654000","644000",0
1405782000000,"652000","648000","654000","646000",0
1405868400000,"647000","646000","650000","645000",0
1405954800000,"646000","643000","649000","643000",0
1406041200000,"643000","642000","651000","638000",0
1406127600000,"644000","626000","646000","616000",0
1406214000000,"626000","621000","628000","616000",0
1406300400000,"622000","611000","624000","608000",1
1406386800000,"610000","613000","617000","609000",0
1406473200000,"612000","595000","613000","590000",0
1406559600000,"595000","594000","609000","593000",0
1406646000000,"597000","592000","601000","590000",0
1406732400000,"592000","594000","603000","1000",0
1406818800000,"597000","613000","619000","594000",0
1406905200000,"612000","606000","622000","603000",0
1406991600000,"606000","603000","610000","597000",0
1407078000000,"604000","605000","609000","597000",0
1407164400000,"606000","602000","615000","598000",0
1407250800000,"604000","605000","615000","603000",0
1407337200000,"606000","609000","612000","606000",0
1407423600000,"608000","616000","624000","607000",0
1407510000000,"617000","610000","619000","607000",0
1407596400000,"609000","614000","620000","609000",2
1407682800000,"614000","609000","619000","608000",0
1407769200000,"609000","593000","612000","585000",0
1407855600000,"593000","562000","598000","540000",0
1407942000000,"561000","516000","568000","508000",1
1408028400000,"516000","523000","534000","510000",0
1408114800000,"523000","517000","528000","493000",0
1408201200000,"514000","510000","545000","504000",0
1408287600000,"508000","470000","516000","455000",0
1408374000000,"468000","490000","492000","464000",0
1408460400000,"489000","507000","509000","480000",0
1408546800000,"507000","533000","555000","501000",0
1408633200000,"534000","530000","536000","512000",0
1408719600000,"528000","519000","530000","508000",0
1408806000000,"519000","517000","519000","508000",0
1408892400000,"515000","519000","530000","515000",0
1408978800000,"517000","523000","525000","515000",0
1409065200000,"523000","523000","529000","520000",0
1409151600000,"525000","518000","525000","515000",2
1409238000000,"515000","515000","518000","512000",0
1409324400000,"516000","513000","517000","511000",0
1409410800000,"515000","493000","515000","490000",0
1409497200000,"495000","488000","497000","478000",1
1409583600000,"488000","486000","492000","476000",0
1409670000000,"485000","486000","491000","483000",0
1409756400000,"485000","490000","490000","480000",0
1409842800000,"489000","489000","496000","483000",0
1409929200000,"489000","487000","489000","484000",0
1410015600000,"486000","489000","490000","485000",0
1410102000000,"489000","478000","489000","475000",0
1410188400000,"480000","479000","484000","475000",0
1410274800000,"481000","487000","490000","478000",0
1410361200000,"488000","484000","489000","482000",0
1410447600000,"484000","484000","487000","481000",0
1410534000000,"484000","488000","490000","482000",0
1410620400000,"488000","486000","488000","485000",0
1410706800000,"486000","485000","487000","481000",0
1410793200000,"483000","475000","485000","475000",0
1410879600000,"477000","458000","478000","455000",0
1410966000000,"463000","444000","472000","442000",0
1411052400000,"444000","399000","447000","294000",0
1411138800000,"402000","430000","437000","401000",0
1411225200000,"429000","417000","436000","404000",0
1411311600000,"414000","412000","421000","410000",0
1411398000000,"412000","409000","418000","403000",0
1411484400000,"410000","438000","450000","406000",0
1411570800000,"437000","417000","437000","407000",0
1411657200000,"418000","413000","426000","410000",0
1411743600000,"412000","409000","416000","409000",0
1411830000000,"410000","404000","411000","402000",0
1411916400000,"402000","392000","406000","384000",2
1412002800000,"391000","390000","394000","383000",0
1412089200000,"390000","396000","403000","389000",1
1412175600000,"396000","390000","400000","386000",0
1412262000000,"387000","384000","390000","382000",0
1412348400000,"385000","359000","386000","354000",0
1412434800000,"358000","333000","362000","315000",0
1412521200000,"333000","350000","350000","301000",0
1412607600000,"349000","348000","357000","336000",0
1412694000000,"347000","371000","371000","341000",0
1412780400000,"371000","406000","406000","366000",0
1412866800000,"407000","383000","408000","380000",0
1412953200000,"381000","377000","390000","375000",0
1413039600000,"377000","382000","383000","372000",0
1413126000000,"382000","389000","393000","376000",0
1413212400000,"390000","411000","420000","386000",0
1413298800000,"412000","408000","419000","396000",2
1413385200000,"407000","395000","409000","395000",0
1413471600000,"395000","393000","403000","380000",0
1413558000000,"394000","404000","407000","393000",0
1413644400000,"403000","408000","410000","401000",0
1413730800000,"407000","400000","408000","396000",0
1413817200000,"400000","403000","405000","395000",0
1413903600000,"403000","399000","404000","398000",0
1413990000000,"401000","377000","402000","377000",0
1414076400000,"379000","381000","383000","370000",0
1414162800000,"381000","366000","381000","363000",0
1414249200000,"365000","370000","383000","365000",0
1414335600000,"370000","370000","374000","366000",0
1414422000000,"371000","370000","373000","366000",1
1414508400000,"369000","355000","371000","353000",0
1414594800000,"355000","352000","359000","348000",0
1414681200000,"353000","354000","364000","348000",0
1414767600000,"355000","344000","358000","340000",0
1414854000000,"344000","340000","347000","337000",0
1414940400000,"340000","346000","351000","340000",0
1415026800000,"346000","346000","349000","340000",0
1415113200000,"347000","358000","359000","340000",0
1415199600000,"358000","361000","363000","356000",0
1415286000000,"361000","371000","380000","361000",0
1415372400000,"370000","368000","375000","367000",0
1415458800000,"369000","377000","377000","367000",2
1415545200000,"376000","389000","389000","376000",0
1415631600000,"389000","385000","392000","383000",0
1415718000000,"386000","418000","421000","385000",0
1415804400000,"418000","474000","520000","418000",0
1415890800000,"474000","434000","478000","414000",0
1415977200000,"435000","406000","444000","406000",0
1416063600000,"407000","412000","429000","402000",0
1416150000000,"414000","427000","435000","412000",0
1416236400000,"427000","413000","430000","405000",0
1416322800000,"413000","414000","424000","409000",0
1416409200000,"414000","398000","420000","391000",0
1416495600000,"396000","386000","403000","374000",0
1416582000000,"386000","390000","401000","384000",0
1416668400000,"390000","392000","396000","385000",1
1416754800000,"394000","410000","412000","393000",0
1416841200000,"412000","418000","426000","408000",0
1416927600000,"416000","411000","418000","402000",0
1417014000000,"411000","409000","414000","405000",0
1417100400000,"408000","406000","411000","398000",0
1417186800000,"406000","419000","422000","406000",0
1417273200000,"418000","415000","419000","410000",0
1417359600000,"415000","420000","422000","412000",2
1417446000000,"419000","423000","426000","418000",0
1417532400000,"424000","419000","427000","415000",0
1417618800000,"419000","415000","424000","412000",0
1417705200000,"416000","416000","418000","408000",0
1417791600000,"415000","415000","419000","412000",0
1417878000000,"415000","416000","416000","414000",0
1417964400000,"416000","412000","417000","405000",0
1418050800000,"412000","380000","412000","377000",0
1418137200000,"383000","388000","393000","381000",1
1418223600000,"388000","395000","398000","376000",0
1418310000000,"394000","390000","395000","385000",0
1418396400000,"389000","389000","393000","386000",0
1418482800000,"389000","388000","389000","385000",0
1418569200000,"388000","386000","393000","386000",0
1418655600000,"387000","372000","388000","367000",0
1418742000000,"372000","358000","374000","354000",0
1418828400000,"359000","345000","367000","338000",0
1418914800000,"345000","347000","350000","341000",0
1419001200000,"347000","360000","364000","346000",0
1419087600000,"362000","359000","365000","349000",0
1419174000000,"359000","363000","366000","354000",0
1419260400000,"363000","370000","376000","361000",0
1419346800000,"370000","367000","375000","366000",0
1419433200000,"367000","353000","368000","352000",0
1419519600000,"354000","357000","358000","349000",0
1419606000000,"358000","345000","364000","345000",0
1419692400000,"345000","347000","352000","343000",0
1419778800000,"347000","347000","352000","345000",0
1419865200000,"347000","339000","348000","336000",0
1419951600000,"339000","341000","343000","336000",0
1420038000000,"340000","345000","347000","340000",0
1420124400000,"345000","347000","348000","341000",0
1420210800000,"348000","333000","348000","326000",0
1420297200000,"332000","292000","334000","286000",0
1420383600000,"290000","299000","308000","282000",0
1420470000000,"299000","299000","304000","293000",0
1420556400000,"300000","312000","314000","298000",0
1420642800000,"311000","308000","322000","301000",0
1420729200000,"308000","310000","314000","304000",0
1420815600000,"307000","302000","315000","299000",0
1420902000000,"304000","302000","306000","295000",0
1420988400000,"304000","295000","304000","289000",0
1421074800000,"296000","252000","298000","211000",0
1421161200000,"252000","209000","265000","177000",0
1421247600000,"209000","230500","250000","180000",0
1421334000000,"230000","220000","239000","208000",0
1421420400000,"220000","209000","228000","208000",0
1421506800000,"208000","225000","229000","204000",0
1421593200000,"225500","224500","231000","219500",0
1421679600000,"225000","225500","229000","219500",0
1421766000000,"225500","227000","229000","222500",0
1421852400000,"227500","251000","255000","226000",0
1421938800000,"250000","249000","252500","243000",0
1422025200000,"249500","255500","255500","246500",2
1422111600000,"253500","265500","277000","253500",0
1422198000000,"265500","301500","335000","264500",0
1422284400000,"299500","287000","304500","270500",0
